country,alpha_2_code,alpha_3_code,numeric_code,indicator,time_period,obs_value,sex,unit_multiplier,unit_of_measure,observation_status,observation_confidentaility,time_period_activity_related_to_when_the_data_are_collected,current_age
Andorra,AD,AND,20,"Universal health coverage index for reproductive, maternal, newborn and child-health interventions",2021,89,Total,Units,Index,,Free,,Total
Angola,AO,AGO,24,"Universal health coverage index for reproductive, maternal, newborn and child-health interventions",2000,33,Total,Units,Index,,Free,,Total
Angola,AO,AGO,24,"Universal health coverage index for reproductive, maternal, newborn and child-health interventions",2005,40,Total,Units,Index,,Free,,Total
Angola,AO,AGO,24,"Universal health coverage index for reproductive, maternal, newborn and child-health interventions",2010,43,Total,Units,Index,,Free,,Total
Angola,AO,AGO,24,"Universal health coverage index for reproductive, maternal, newborn and child-health interventions",2015,46,Total,Units,Index,,Free,,Total
Angola,AO,AGO,24,"Universal health coverage index for reproductive, maternal, newborn and child-health interventions",2017,46,Total,Units,Index,,Free,,Total
Angola,AO,AGO,24,"Universal health coverage index for reproductive, maternal, newborn and child-health interventions",2019,46,Total,Units,Index,,Free,,Total
Angola,AO,AGO,24,"Universal health coverage index for reproductive, maternal, newborn and child-health interventions",2021,45,Total,Units,Index,,Free,,Total
Antigua and Barbuda,AG,ATG,28,"Universal health coverage index for reproductive, maternal, newborn and child-health interventions",2000,85,Total,Units,Index,,Free,,Total
Antigua and Barbuda,AG,ATG,28,"Universal health coverage index for reproductive, maternal, newborn and child-health interventions",2005,88,Total,Units,Index,,Free,,Total
Antigua and Barbuda,AG,ATG,28,"Universal health coverage index for reproductive, maternal, newborn and child-health interventions",2010,89,Total,Units,Index,,Free,,Total
Antigua and Barbuda,AG,ATG,28,"Universal health coverage index for reproductive, maternal, newborn and child-health interventions",2015,89,Total,Units,Index,,Free,,Total
Antigua and Barbuda,AG,ATG,28,"Universal health coverage index for reproductive, maternal, newborn and child-health interventions",2017,86,Total,Units,Index,,Free,,Total
Antigua and Barbuda,AG,ATG,28,"Universal health coverage index for reproductive, maternal, newborn and child-health interventions",2019,86,Total,Units,Index,,Free,,Total
Antigua and Barbuda,AG,ATG,28,"Universal health coverage index for reproductive, maternal, newborn and child-health interventions",2021,86,Total,Units,Index,,Free,,Total
Argentina,AR,ARG,32,"Universal health coverage index for reproductive, maternal, newborn and child-health interventions",2000,85,Total,Units,Index,,Free,,Total
Argentina,AR,ARG,32,"Universal health coverage index for reproductive, maternal, newborn and child-health interventions",2005,90,Total,Units,Index,,Free,,Total
Argentina,AR,ARG,32,"Universal health coverage index for reproductive, maternal, newborn and child-health interventions",2010,90,Total,Units,Index,,Free,,Total
Argentina,AR,ARG,32,"Universal health coverage index for reproductive, maternal, newborn and child-health interventions",2015,90,Total,Units,Index,,Free,,Total
Argentina,AR,ARG,32,"Universal health coverage index for reproductive, maternal, newborn and child-health interventions",2017,88,Total,Units,Index,,Free,,Total
Argentina,AR,ARG,32,"Universal health coverage index for reproductive, maternal, newborn and child-health interventions",2019,87,Total,Units,Index,,Free,,Total
Argentina,AR,ARG,32,"Universal health coverage index for reproductive, maternal, newborn and child-health interventions",2021,86,Total,Units,Index,,Free,,Total
Armenia,AM,ARM,51,"Universal health coverage index for reproductive, maternal, newborn and child-health interventions",2000,48,Total,Units,Index,,Free,,Total
Armenia,AM,ARM,51,"Universal health coverage index for reproductive, maternal, newborn and child-health interventions",2005,52,Total,Units,Index,,Free,,Total
Armenia,AM,ARM,51,"Universal health coverage index for reproductive, maternal, newborn and child-health interventions",2010,66,Total,Units,Index,,Free,,Total
Armenia,AM,ARM,51,"Universal health coverage index for reproductive, maternal, newborn and child-health interventions",2015,74,Total,Units,Index,,Free,,Total
Armenia,AM,ARM,51,"Universal health coverage index for reproductive, maternal, newborn and child-health interventions",2017,76,Total,Units,Index,,Free,,Total
Armenia,AM,ARM,51,"Universal health coverage index for reproductive, maternal, newborn and child-health interventions",2019,76,Total,Units,Index,,Free,,Total
Armenia,AM,ARM,51,"Universal health coverage index for reproductive, maternal, newborn and child-health interventions",2021,77,Total,Units,Index,,Free,,Total
Australia,AU,AUS,36,"Universal health coverage index for reproductive, maternal, newborn and child-health interventions",2000,88,Total,Units,Index,,Free,,Total
Australia,AU,AUS,36,"Universal health coverage index for reproductive, maternal, newborn and child-health interventions",2005,89,Total,Units,Index,,Free,,Total
Australia,AU,AUS,36,"Universal health coverage index for reproductive, maternal, newborn and child-health interventions",2010,89,Total,Units,Index,,Free,,Total
Australia,AU,AUS,36,"Universal health coverage index for reproductive, maternal, newborn and child-health interventions",2015,91,Total,Units,Index,,Free,,Total
Australia,AU,AUS,36,"Universal health coverage index for reproductive, maternal, newborn and child-health interventions",2017,91,Total,Units,Index,,Free,,Total
Australia,AU,AUS,36,"Universal health coverage index for reproductive, maternal, newborn and child-health interventions",2019,91,Total,Units,Index,,Free,,Total
Australia,AU,AUS,36,"Universal health coverage index for reproductive, maternal, newborn and child-health interventions",2021,91,Total,Units,Index,,Free,,Total
Austria,AT,AUT,40,"Universal health coverage index for reproductive, maternal, newborn and child-health interventions",2000,86,Total,Units,Index,,Free,,Total
Austria,AT,AUT,40,"Universal health coverage index for reproductive, maternal, newborn and child-health interventions",2005,89,Total,Units,Index,,Free,,Total
Austria,AT,AUT,40,"Universal health coverage index for reproductive, maternal, newborn and child-health interventions",2010,90,Total,Units,Index,,Free,,Total
Austria,AT,AUT,40,"Universal health coverage index for reproductive, maternal, newborn and child-health interventions",2015,92,Total,Units,Index,,Free,,Total
Austria,AT,AUT,40,"Universal health coverage index for reproductive, maternal, newborn and child-health interventions",2017,92,Total,Units,Index,,Free,,Total
Austria,AT,AUT,40,"Universal health coverage index for reproductive, maternal, newborn and child-health interventions",2019,91,Total,Units,Index,,Free,,Total
Austria,AT,AUT,40,"Universal health coverage index for reproductive, maternal, newborn and child-health interventions",2021,91,Total,Units,Index,,Free,,Total
Azerbaijan,AZ,AZE,31,"Universal health coverage index for reproductive, maternal, newborn and child-health interventions",2000,41,Total,Units,Index,,Free,,Total
Azerbaijan,AZ,AZE,31,"Universal health coverage index for reproductive, maternal, newborn and child-health interventions",2005,41,Total,Units,Index,,Free,,Total
Azerbaijan,AZ,AZE,31,"Universal health coverage index for reproductive, maternal, newborn and child-health interventions",2010,45,Total,Units,Index,,Free,,Total
Azerbaijan,AZ,AZE,31,"Universal health coverage index for reproductive, maternal, newborn and child-health interventions",2015,50,Total,Units,Index,,Free,,Total
Azerbaijan,AZ,AZE,31,"Universal health coverage index for reproductive, maternal, newborn and child-health interventions",2017,51,Total,Units,Index,,Free,,Total
Azerbaijan,AZ,AZE,31,"Universal health coverage index for reproductive, maternal, newborn and child-health interventions",2019,51,Total,Units,Index,,Free,,Total
Azerbaijan,AZ,AZE,31,"Universal health coverage index for reproductive, maternal, newborn and child-health interventions",2021,51,Total,Units,Index,,Free,,Total
Bahamas,BS,BHS,44,"Universal health coverage index for reproductive, maternal, newborn and child-health interventions",2000,84,Total,Units,Index,,Free,,Total
Bahamas,BS,BHS,44,"Universal health coverage index for reproductive, maternal, newborn and child-health interventions",2005,83,Total,Units,Index,,Free,,Total
Bahamas,BS,BHS,44,"Universal health coverage index for reproductive, maternal, newborn and child-health interventions",2010,85,Total,Units,Index,,Free,,Total
Bahamas,BS,BHS,44,"Universal health coverage index for reproductive, maternal, newborn and child-health interventions",2015,84,Total,Units,Index,,Free,,Total
Bahamas,BS,BHS,44,"Universal health coverage index for reproductive, maternal, newborn and child-health interventions",2017,84,Total,Units,Index,,Free,,Total
Bahamas,BS,BHS,44,"Universal health coverage index for reproductive, maternal, newborn and child-health interventions",2019,83,Total,Units,Index,,Free,,Total
Bahamas,BS,BHS,44,"Universal health coverage index for reproductive, maternal, newborn and child-health interventions",2021,80,Total,Units,Index,,Free,,Total
Bahrain,BH,BHR,48,"Universal health coverage index for reproductive, maternal, newborn and child-health interventions",2000,78,Total,Units,Index,,Free,,Total
Bahrain,BH,BHR,48,"Universal health coverage index for reproductive, maternal, newborn and child-health interventions",2005,80,Total,Units,Index,,Free,,Total
Bahrain,BH,BHR,48,"Universal health coverage index for reproductive, maternal, newborn and child-health interventions",2010,82,Total,Units,Index,,Free,,Total
Bahrain,BH,BHR,48,"Universal health coverage index for reproductive, maternal, newborn and child-health interventions",2015,83,Total,Units,Index,,Free,,Total
Bahrain,BH,BHR,48,"Universal health coverage index for reproductive, maternal, newborn and child-health interventions",2017,83,Total,Units,Index,,Free,,Total
Bahrain,BH,BHR,48,"Universal health coverage index for reproductive, maternal, newborn and child-health interventions",2019,84,Total,Units,Index,,Free,,Total
Bahrain,BH,BHR,48,"Universal health coverage index for reproductive, maternal, newborn and child-health interventions",2021,84,Total,Units,Index,,Free,,Total
Bangladesh,BD,BGD,50,"Universal health coverage index for reproductive, maternal, newborn and child-health interventions",2000,35,Total,Units,Index,,Free,,Total
Bangladesh,BD,BGD,50,"Universal health coverage index for reproductive, maternal, newborn and child-health interventions",2005,42,Total,Units,Index,,Free,,Total
Bangladesh,BD,BGD,50,"Universal health coverage index for reproductive, maternal, newborn and child-health interventions",2010,49,Total,Units,Index,,Free,,Total
Bangladesh,BD,BGD,50,"Universal health coverage index for reproductive, maternal, newborn and child-health interventions",2015,58,Total,Units,Index,,Free,,Total
Bangladesh,BD,BGD,50,"Universal health coverage index for reproductive, maternal, newborn and child-health interventions",2017,59,Total,Units,Index,,Free,,Total
Bangladesh,BD,BGD,50,"Universal health coverage index for reproductive, maternal, newborn and child-health interventions",2019,59,Total,Units,Index,,Free,,Total
Bangladesh,BD,BGD,50,"Universal health coverage index for reproductive, maternal, newborn and child-health interventions",2021,59,Total,Units,Index,,Free,,Total
Barbados,BB,BRB,52,"Universal health coverage index for reproductive, maternal, newborn and child-health interventions",2000,83,Total,Units,Index,,Free,,Total
Barbados,BB,BRB,52,"Universal health coverage index for reproductive, maternal, newborn and child-health interventions",2005,82,Total,Units,Index,,Free,,Total
Barbados,BB,BRB,52,"Universal health coverage index for reproductive, maternal, newborn and child-health interventions",2010,81,Total,Units,Index,,Free,,Total
Barbados,BB,BRB,52,"Universal health coverage index for reproductive, maternal, newborn and child-health interventions",2015,87,Total,Units,Index,,Free,,Total
Barbados,BB,BRB,52,"Universal health coverage index for reproductive, maternal, newborn and child-health interventions",2017,85,Total,Units,Index,,Free,,Total
Barbados,BB,BRB,52,"Universal health coverage index for reproductive, maternal, newborn and child-health interventions",2019,85,Total,Units,Index,,Free,,Total
Barbados,BB,BRB,52,"Universal health coverage index for reproductive, maternal, newborn and child-health interventions",2021,83,Total,Units,Index,,Free,,Total
Belarus,BY,BLR,112,"Universal health coverage index for reproductive, maternal, newborn and child-health interventions",2000,87,Total,Units,Index,,Free,,Total
Belarus,BY,BLR,112,"Universal health coverage index for reproductive, maternal, newborn and child-health interventions",2005,88,Total,Units,Index,,Free,,Total
Belarus,BY,BLR,112,"Universal health coverage index for reproductive, maternal, newborn and child-health interventions",2010,89,Total,Units,Index,,Free,,Total
Belarus,BY,BLR,112,"Universal health coverage index for reproductive, maternal, newborn and child-health interventions",2015,90,Total,Units,Index,,Free,,Total
Belarus,BY,BLR,112,"Universal health coverage index for reproductive, maternal, newborn and child-health interventions",2017,90,Total,Units,Index,,Free,,Total
Belarus,BY,BLR,112,"Universal health coverage index for reproductive, maternal, newborn and child-health interventions",2019,90,Total,Units,Index,,Free,,Total
Belarus,BY,BLR,112,"Universal health coverage index for reproductive, maternal, newborn and child-health interventions",2021,90,Total,Units,Index,,Free,,Total
Belgium,BE,BEL,56,"Universal health coverage index for reproductive, maternal, newborn and child-health interventions",2000,91,Total,Units,Index,,Free,,Total
Belgium,BE,BEL,56,"Universal health coverage index for reproductive, maternal, newborn and child-health interventions",2005,93,Total,Units,Index,,Free,,Total
Belgium,BE,BEL,56,"Universal health coverage index for reproductive, maternal, newborn and child-health interventions",2010,94,Total,Units,Index,,Free,,Total
Belgium,BE,BEL,56,"Universal health coverage index for reproductive, maternal, newborn and child-health interventions",2015,94,Total,Units,Index,,Free,,Total
Belgium,BE,BEL,56,"Universal health coverage index for reproductive, maternal, newborn and child-health interventions",2017,94,Total,Units,Index,,Free,,Total
Belgium,BE,BEL,56,"Universal health coverage index for reproductive, maternal, newborn and child-health interventions",2019,94,Total,Units,Index,,Free,,Total
Belgium,BE,BEL,56,"Universal health coverage index for reproductive, maternal, newborn and child-health interventions",2021,94,Total,Units,Index,,Free,,Total
Belize,BZ,BLZ,84,"Universal health coverage index for reproductive, maternal, newborn and child-health interventions",2000,77,Total,Units,Index,,Free,,Total
Belize,BZ,BLZ,84,"Universal health coverage index for reproductive, maternal, newborn and child-health interventions",2005,77,Total,Units,Index,,Free,,Total
Belize,BZ,BLZ,84,"Universal health coverage index for reproductive, maternal, newborn and child-health interventions",2010,81,Total,Units,Index,,Free,,Total
Belize,BZ,BLZ,84,"Universal health coverage index for reproductive, maternal, newborn and child-health interventions",2015,81,Total,Units,Index,,Free,,Total
Belize,BZ,BLZ,84,"Universal health coverage index for reproductive, maternal, newborn and child-health interventions",2017,79,Total,Units,Index,,Free,,Total
Belize,BZ,BLZ,84,"Universal health coverage index for reproductive, maternal, newborn and child-health interventions",2019,81,Total,Units,Index,,Free,,Total
Belize,BZ,BLZ,84,"Universal health coverage index for reproductive, maternal, newborn and child-health interventions",2021,78,Total,Units,Index,,Free,,Total
Benin,BJ,BEN,204,"Universal health coverage index for reproductive, maternal, newborn and child-health interventions",2000,39,Total,Units,Index,,Free,,Total
Benin,BJ,BEN,204,"Universal health coverage index for reproductive, maternal, newborn and child-health interventions",2005,39,Total,Units,Index,,Free,,Total
Benin,BJ,BEN,204,"Universal health coverage index for reproductive, maternal, newborn and child-health interventions",2010,39,Total,Units,Index,,Free,,Total
Benin,BJ,BEN,204,"Universal health coverage index for reproductive, maternal, newborn and child-health interventions",2015,38,Total,Units,Index,,Free,,Total
Benin,BJ,BEN,204,"Universal health coverage index for reproductive, maternal, newborn and child-health interventions",2017,40,Total,Units,Index,,Free,,Total
Benin,BJ,BEN,204,"Universal health coverage index for reproductive, maternal, newborn and child-health interventions",2019,42,Total,Units,Index,,Free,,Total
Benin,BJ,BEN,204,"Universal health coverage index for reproductive, maternal, newborn and child-health interventions",2021,43,Total,Units,Index,,Free,,Total
Bhutan,BT,BTN,64,"Universal health coverage index for reproductive, maternal, newborn and child-health interventions",2000,72,Total,Units,Index,,Free,,Total
Bhutan,BT,BTN,64,"Universal health coverage index for reproductive, maternal, newborn and child-health interventions",2005,75,Total,Units,Index,,Free,,Total
Bhutan,BT,BTN,64,"Universal health coverage index for reproductive, maternal, newborn and child-health interventions",2010,79,Total,Units,Index,,Free,,Total
Bhutan,BT,BTN,64,"Universal health coverage index for reproductive, maternal, newborn and child-health interventions",2015,83,Total,Units,Index,,Free,,Total
Bhutan,BT,BTN,64,"Universal health coverage index for reproductive, maternal, newborn and child-health interventions",2017,82,Total,Units,Index,,Free,,Total
Bhutan,BT,BTN,64,"Universal health coverage index for reproductive, maternal, newborn and child-health interventions",2019,82,Total,Units,Index,,Free,,Total
Bhutan,BT,BTN,64,"Universal health coverage index for reproductive, maternal, newborn and child-health interventions",2021,83,Total,Units,Index,,Free,,Total
"Bolivia, Plurinational State of",BO,BOL,68,"Universal health coverage index for reproductive, maternal, newborn and child-health interventions",2000,54,Total,Units,Index,,Free,,Total
"Bolivia, Plurinational State of",BO,BOL,68,"Universal health coverage index for reproductive, maternal, newborn and child-health interventions",2005,60,Total,Units,Index,,Free,,Total
"Bolivia, Plurinational State of",BO,BOL,68,"Universal health coverage index for reproductive, maternal, newborn and child-health interventions",2010,67,Total,Units,Index,,Free,,Total
"Bolivia, Plurinational State of",BO,BOL,68,"Universal health coverage index for reproductive, maternal, newborn and child-health interventions",2015,71,Total,Units,Index,,Free,,Total
"Bolivia, Plurinational State of",BO,BOL,68,"Universal health coverage index for reproductive, maternal, newborn and child-health interventions",2017,75,Total,Units,Index,,Free,,Total
"Bolivia, Plurinational State of",BO,BOL,68,"Universal health coverage index for reproductive, maternal, newborn and child-health interventions",2019,73,Total,Units,Index,,Free,,Total
"Bolivia, Plurinational State of",BO,BOL,68,"Universal health coverage index for reproductive, maternal, newborn and child-health interventions",2021,72,Total,Units,Index,,Free,,Total
Bosnia and Herzegovina,BA,BIH,70,"Universal health coverage index for reproductive, maternal, newborn and child-health interventions",2000,59,Total,Units,Index,,Free,,Total
Bosnia and Herzegovina,BA,BIH,70,"Universal health coverage index for reproductive, maternal, newborn and child-health interventions",2005,61,Total,Units,Index,,Free,,Total
Bosnia and Herzegovina,BA,BIH,70,"Universal health coverage index for reproductive, maternal, newborn and child-health interventions",2010,62,Total,Units,Index,,Free,,Total
Bosnia and Herzegovina,BA,BIH,70,"Universal health coverage index for reproductive, maternal, newborn and child-health interventions",2015,63,Total,Units,Index,,Free,,Total
Bosnia and Herzegovina,BA,BIH,70,"Universal health coverage index for reproductive, maternal, newborn and child-health interventions",2017,63,Total,Units,Index,,Free,,Total
Bosnia and Herzegovina,BA,BIH,70,"Universal health coverage index for reproductive, maternal, newborn and child-health interventions",2019,63,Total,Units,Index,,Free,,Total
Bosnia and Herzegovina,BA,BIH,70,"Universal health coverage index for reproductive, maternal, newborn and child-health interventions",2021,64,Total,Units,Index,,Free,,Total
Botswana,BW,BWA,72,"Universal health coverage index for reproductive, maternal, newborn and child-health interventions",2000,52,Total,Units,Index,,Free,,Total
Botswana,BW,BWA,72,"Universal health coverage index for reproductive, maternal, newborn and child-health interventions",2005,53,Total,Units,Index,,Free,,Total
Botswana,BW,BWA,72,"Universal health coverage index for reproductive, maternal, newborn and child-health interventions",2010,54,Total,Units,Index,,Free,,Total
Botswana,BW,BWA,72,"Universal health coverage index for reproductive, maternal, newborn and child-health interventions",2015,54,Total,Units,Index,,Free,,Total
Botswana,BW,BWA,72,"Universal health coverage index for reproductive, maternal, newborn and child-health interventions",2017,54,Total,Units,Index,,Free,,Total
Botswana,BW,BWA,72,"Universal health coverage index for reproductive, maternal, newborn and child-health interventions",2019,54,Total,Units,Index,,Free,,Total
Botswana,BW,BWA,72,"Universal health coverage index for reproductive, maternal, newborn and child-health interventions",2021,54,Total,Units,Index,,Free,,Total
Brazil,BR,BRA,76,"Universal health coverage index for reproductive, maternal, newborn and child-health interventions",2000,75,Total,Units,Index,,Free,,Total
Brazil,BR,BRA,76,"Universal health coverage index for reproductive, maternal, newborn and child-health interventions",2005,78,Total,Units,Index,,Free,,Total
Brazil,BR,BRA,76,"Universal health coverage index for reproductive, maternal, newborn and child-health interventions",2010,79,Total,Units,Index,,Free,,Total
Brazil,BR,BRA,76,"Universal health coverage index for reproductive, maternal, newborn and child-health interventions",2015,79,Total,Units,Index,,Free,,Total
Brazil,BR,BRA,76,"Universal health coverage index for reproductive, maternal, newborn and child-health interventions",2017,77,Total,Units,Index,,Free,,Total
Brazil,BR,BRA,76,"Universal health coverage index for reproductive, maternal, newborn and child-health interventions",2019,73,Total,Units,Index,,Free,,Total
Brazil,BR,BRA,76,"Universal health coverage index for reproductive, maternal, newborn and child-health interventions",2021,73,Total,Units,Index,,Free,,Total
Brunei,BN,BRN,96,"Universal health coverage index for reproductive, maternal, newborn and child-health interventions",2000,87,Total,Units,Index,,Free,,Total
Brunei,BN,BRN,96,"Universal health coverage index for reproductive, maternal, newborn and child-health interventions",2005,87,Total,Units,Index,,Free,,Total
Brunei,BN,BRN,96,"Universal health coverage index for reproductive, maternal, newborn and child-health interventions",2010,88,Total,Units,Index,,Free,,Total
Brunei,BN,BRN,96,"Universal health coverage index for reproductive, maternal, newborn and child-health interventions",2015,88,Total,Units,Index,,Free,,Total
Brunei,BN,BRN,96,"Universal health coverage index for reproductive, maternal, newborn and child-health interventions",2017,89,Total,Units,Index,,Free,,Total
Brunei,BN,BRN,96,"Universal health coverage index for reproductive, maternal, newborn and child-health interventions",2019,88,Total,Units,Index,,Free,,Total
Brunei,BN,BRN,96,"Universal health coverage index for reproductive, maternal, newborn and child-health interventions",2021,89,Total,Units,Index,,Free,,Total
Bulgaria,BG,BGR,100,"Universal health coverage index for reproductive, maternal, newborn and child-health interventions",2000,70,Total,Units,Index,,Free,,Total
Bulgaria,BG,BGR,100,"Universal health coverage index for reproductive, maternal, newborn and child-health interventions",2005,73,Total,Units,Index,,Free,,Total
Bulgaria,BG,BGR,100,"Universal health coverage index for reproductive, maternal, newborn and child-health interventions",2010,77,Total,Units,Index,,Free,,Total
Bulgaria,BG,BGR,100,"Universal health coverage index for reproductive, maternal, newborn and child-health interventions",2015,80,Total,Units,Index,,Free,,Total
Bulgaria,BG,BGR,100,"Universal health coverage index for reproductive, maternal, newborn and child-health interventions",2017,82,Total,Units,Index,,Free,,Total
Bulgaria,BG,BGR,100,"Universal health coverage index for reproductive, maternal, newborn and child-health interventions",2019,83,Total,Units,Index,,Free,,Total
Bulgaria,BG,BGR,100,"Universal health coverage index for reproductive, maternal, newborn and child-health interventions",2021,83,Total,Units,Index,,Free,,Total
Burkina Faso,BF,BFA,854,"Universal health coverage index for reproductive, maternal, newborn and child-health interventions",2000,25,Total,Units,Index,,Free,,Total
Burkina Faso,BF,BFA,854,"Universal health coverage index for reproductive, maternal, newborn and child-health interventions",2005,38,Total,Units,Index,,Free,,Total
Burkina Faso,BF,BFA,854,"Universal health coverage index for reproductive, maternal, newborn and child-health interventions",2010,52,Total,Units,Index,,Free,,Total
Burkina Faso,BF,BFA,854,"Universal health coverage index for reproductive, maternal, newborn and child-health interventions",2015,57,Total,Units,Index,,Free,,Total
Burkina Faso,BF,BFA,854,"Universal health coverage index for reproductive, maternal, newborn and child-health interventions",2017,59,Total,Units,Index,,Free,,Total
Burkina Faso,BF,BFA,854,"Universal health coverage index for reproductive, maternal, newborn and child-health interventions",2019,60,Total,Units,Index,,Free,,Total
Burkina Faso,BF,BFA,854,"Universal health coverage index for reproductive, maternal, newborn and child-health interventions",2021,60,Total,Units,Index,,Free,,Total
Burundi,BI,BDI,108,"Universal health coverage index for reproductive, maternal, newborn and child-health interventions",2000,37,Total,Units,Index,,Free,,Total
Burundi,BI,BDI,108,"Universal health coverage index for reproductive, maternal, newborn and child-health interventions",2005,40,Total,Units,Index,,Free,,Total
Burundi,BI,BDI,108,"Universal health coverage index for reproductive, maternal, newborn and child-health interventions",2010,51,Total,Units,Index,,Free,,Total
Burundi,BI,BDI,108,"Universal health coverage index for reproductive, maternal, newborn and child-health interventions",2015,57,Total,Units,Index,,Free,,Total
Burundi,BI,BDI,108,"Universal health coverage index for reproductive, maternal, newborn and child-health interventions",2017,57,Total,Units,Index,,Free,,Total
Burundi,BI,BDI,108,"Universal health coverage index for reproductive, maternal, newborn and child-health interventions",2019,58,Total,Units,Index,,Free,,Total
Burundi,BI,BDI,108,"Universal health coverage index for reproductive, maternal, newborn and child-health interventions",2021,59,Total,Units,Index,,Free,,Total
Cape Verde,CV,CPV,132,"Universal health coverage index for reproductive, maternal, newborn and child-health interventions",2000,70,Total,Units,Index,,Free,,Total
Cape Verde,CV,CPV,132,"Universal health coverage index for reproductive, maternal, newborn and child-health interventions",2005,72,Total,Units,Index,,Free,,Total
Cape Verde,CV,CPV,132,"Universal health coverage index for reproductive, maternal, newborn and child-health interventions",2010,75,Total,Units,Index,,Free,,Total
Cape Verde,CV,CPV,132,"Universal health coverage index for reproductive, maternal, newborn and child-health interventions",2015,75,Total,Units,Index,,Free,,Total
Cape Verde,CV,CPV,132,"Universal health coverage index for reproductive, maternal, newborn and child-health interventions",2017,76,Total,Units,Index,,Free,,Total
Cape Verde,CV,CPV,132,"Universal health coverage index for reproductive, maternal, newborn and child-health interventions",2019,76,Total,Units,Index,,Free,,Total
Cape Verde,CV,CPV,132,"Universal health coverage index for reproductive, maternal, newborn and child-health interventions",2021,76,Total,Units,Index,,Free,,Total
Cambodia,KH,KHM,116,"Universal health coverage index for reproductive, maternal, newborn and child-health interventions",2000,37,Total,Units,Index,,Free,,Total
Cambodia,KH,KHM,116,"Universal health coverage index for reproductive, maternal, newborn and child-health interventions",2005,50,Total,Units,Index,,Free,,Total
